Frame,Time,Distance,TotalTime,TotalDistance,SegmentNum,Sector,Markers,MarkerTime,MarkerFlag,PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,SteeringAngle,Throttle,Brake,Gear,LiftAndCoast,Speed,RawSteer,RawThrottle,RawBrake,AutomaticGear,LapDistance,AccelerationLat,AccelerationLong,AccelerationVert,PreEfficiencyPowerFront,PreEfficiencyPowerRear,BatteryPower,BatteryPowerRMS,BatteryNetEnergy,MotorRpmFront,MotorRpmRear,TorqueDiffFront,TorqueDiffRear,MguRotorTorqueFront,MguRotorTorqueRear,WheelSpinFL,WheelSpinFR,WheelSpinRL,WheelSpinRR,VelocityYaw,SuspensionTravelFL,SuspensionTravelFR,SuspensionTravelRL,SuspensionTravelRR,nWheelFL,nWheelFR,nWheelRL,nWheelRR,WheelLoadFL,WheelLoadFR,WheelLoadRL,WheelLoadRR,AeroDrsPosition,AeroSczFront,AeroSczRear,AeroScx,AeroBalance,RideHeightFront,RideHeightRear
n/a,s,m,s,m,n/a,n/a,n/a,n/a,n/a,m,m,m,°,°,°,°,%,%,,,km/h,,,,,km,G,G,G,,,,,,rpm,rpm,Nm,Nm,Nm,Nm,km/h,km/h,km/h,km/h,°/s,mm,mm,mm,mm,rpm,rpm,rpm,rpm,N,N,N,N,%,,,,%,mm,mm
39979.00000,-0.02718,-0.58776,79.95800,275.23940,1.00000,0.00000,11.00000,79.98309,1.00000,512.76430,139.26600,2357.30800,-1.78769,125.98780,-0.95740,13.19400,100.00000,0.00000,1.00000,0.00000,77.23745,733.00000,10000.00000,0.00000,4.00000,0.27485,0.05434,1.26052,-0.10005,NaN,NaN,395.49300,111.67380,0.56913,872.10800,596.61300,-82.79285,-83.90637,1876.06000,3032.57900,116.93010,116.92670,79.24715,79.26736,0.91812,55.68200,56.15747,73.95202,72.79798,873.37190,873.33090,597.14990,597.08510,1241.47400,1277.81700,4106.47300,4054.57800,100.00000,1.79971,3.11844,0.95261,36.59316,63.00000,78.00000
39989.00000,-0.00718,-0.15228,79.97800,275.67480,1.00000,0.00000,0.00000,0.00000,0.00000,513.11300,139.28420,2357.05300,-1.83325,126.00770,-0.95285,19.18800,100.00000,0.00000,1.00000,0.00000,78.12165,1066.00000,10000.00000,0.00000,4.00000,-0.00054,0.04500,1.20811,-0.09172,NaN,NaN,397.76600,397.31610,0.00111,890.15300,603.49900,-4.91956,-25.69604,1764.27900,3035.45400,119.97690,120.00440,80.19124,80.22206,1.21077,56.54189,56.90450,73.64759,73.02353,891.97620,892.25150,603.87620,604.02250,1225.95500,1013.35500,3887.66800,3731.16700,100.00000,1.67113,3.10845,0.94986,34.96389,64.00000,79.00000
39999.00000,0.01282,0.28744,79.99800,276.11460,1.00000,0.00000,0.00000,0.00000,0.00000,513.46510,139.30130,2356.79600,-1.84116,126.03220,-0.94745,25.18200,100.00000,0.00000,1.00000,0.00000,78.95410,1399.00000,10000.00000,0.00000,4.00000,-0.00011,0.12653,1.13246,-0.31620,NaN,NaN,400.20200,398.47920,0.00332,917.44700,610.88200,-390.25050,112.24110,1616.41400,2996.77400,124.02540,123.89220,81.65955,81.71294,1.36418,57.61525,57.51332,73.87909,73.86070,920.38580,920.37790,611.76770,612.42550,957.12070,1462.72500,2985.39600,2516.86100,100.00000,1.61491,3.06351,0.95076,34.51830,65.00000,81.00000
40009.00000,0.03282,0.73205,80.01801,276.55920,1.00000,0.00000,0.00000,0.00000,0.00000,513.82060,139.31720,2356.53500,-1.82709,126.06130,-0.94608,31.19400,100.00000,0.00000,1.00000,0.00000,79.76125,1733.00000,10000.00000,0.00000,4.00000,0.00033,0.06801,1.10533,-0.44493,NaN,NaN,404.72200,400.07580,0.00555,941.48500,624.59200,-290.65790,755.31760,1720.02400,2875.24900,126.13560,125.95910,84.91215,85.31613,2.28524,58.39267,57.56998,74.69765,75.75527,942.35320,942.34470,627.04430,630.41260,1064.14000,1701.42900,3091.21000,1003.84600,100.00000,1.61927,2.99884,0.95385,35.06350,65.00000,84.00000
40019.00000,0.05282,1.18134,80.03800,277.00850,1.00000,0.00000,0.00000,0.00000,0.00000,514.17970,139.33270,2356.27200,-1.84583,126.10840,-0.97736,37.18800,100.00000,0.00000,1.00000,0.00000,80.60555,2066.00000,10000.00000,0.00000,4.00000,0.00078,0.07349,1.23123,0.15973,NaN,NaN,406.12500,402.65730,0.00783,955.50400,628.85200,-557.92360,-342.49100,1682.77900,3466.07100,127.88200,127.71170,82.30746,82.27860,2.29466,59.02794,57.51854,74.14535,74.84534,956.87300,956.48060,626.47090,623.95660,1028.41100,1800.23100,4824.13800,5407.33300,100.00000,1.61374,3.02212,0.95288,34.80986,65.00000,80.00000
40029.00000,0.07282,1.63555,80.05801,277.46270,1.00000,0.00000,0.00000,0.00000,0.00000,514.54210,139.34760,2356.00500,-1.84924,126.15430,-0.92773,43.18200,100.00000,0.00000,1.00000,0.00000,81.49638,2399.00000,10000.00000,0.00000,4.00000,0.00123,0.02704,1.35701,0.22367,NaN,NaN,405.78300,403.04150,0.01008,964.72000,627.81400,-101.70670,-67.78052,1743.52200,3022.65600,127.35200,127.27660,83.24471,83.35262,2.69364,58.96035,57.30832,71.94183,73.32140,964.34890,964.80650,627.99930,628.37570,1863.58100,1964.27700,5169.89600,4170.14500,100.00000,1.59037,3.10455,0.94839,33.87427,64.00000,77.00000
40039.00000,0.09282,2.09507,80.07800,277.92220,1.00000,0.00000,0.00000,0.00000,0.00000,514.90800,139.36220,2355.73400,-1.80197,126.20740,-0.82675,49.19400,100.00000,0.00000,1.00000,0.00000,82.45953,2733.00000,10000.00000,0.00000,4.00000,0.00168,0.14977,1.45939,0.22046,NaN,NaN,408.30000,403.77660,0.01233,951.80800,635.46000,49.14105,-55.22461,1924.71500,3008.80300,124.15780,124.07400,84.39951,84.58495,3.89295,58.18245,56.80558,70.81473,73.49599,949.19400,949.45020,636.27020,636.50140,2270.88900,2158.97900,5042.13600,3548.07100,100.00000,1.63067,3.12140,0.94860,34.31493,63.00000,77.00000
40049.00000,0.11282,2.56050,80.09801,278.38760,1.00000,0.00000,0.00000,0.00000,0.00000,515.27750,139.37750,2355.45800,-1.74710,126.28640,-0.76434,55.18800,100.00000,0.00000,1.00000,0.00000,83.48489,3066.00000,10000.00000,0.00000,4.00000,0.00214,0.25957,1.36355,0.14718,NaN,NaN,411.24800,404.72880,0.01462,924.73400,644.41800,62.55835,-22.47290,1953.88000,3019.37900,121.97780,121.80390,85.62969,85.83380,4.72734,57.86922,56.39714,70.53572,73.96337,923.69610,922.91670,645.08250,644.98260,1446.80900,2019.94300,4512.64300,3246.06300,100.00000,1.68188,3.12212,0.95001,35.01001,63.00000,78.00000
40059.00000,0.13282,3.03047,80.11800,278.85760,1.00000,0.00000,0.00000,0.00000,0.00000,515.65090,139.39380,2355.17900,-1.69916,126.37920,-0.72446,61.20000,100.00000,0.00000,1.00000,0.00000,84.42233,3400.00000,10000.00000,0.00000,4.00000,0.00261,0.20120,1.19917,-0.26914,NaN,NaN,414.13800,405.81800,0.01691,922.24400,653.21000,-80.72534,151.99370,1736.03800,3027.51200,123.72940,123.36540,87.06506,87.19207,5.06000,58.27668,56.78365,70.84563,74.74241,923.90120,924.02590,653.66970,653.72040,1033.89400,1517.78900,3418.05000,2637.49600,100.00000,1.63131,3.08199,0.95107,34.61082,64.00000,79.00000
